key,ky_latin,ky_kiril,en,tr,kz,az,ru
otherAlphabets,Qoşumça aripter,Кошумча ариптер,Other alphabets,Diğer Alfabeler,Басқа Элипбилер,Digər Əlifbalar,Другие алфавиты
latinAlphabet,Latın aribi,Латын ариби,Latin alphabet,Latın Alfabesi,Латын Элипбисы,Latın Əlifbası,Латиница
latinAlphabet_Kyrgyz,Azğana,Азгана,Minimal,Az,Минимал,Minimal,Минимальная
latinAlphabet_Full,Toluq,Толук,Full,Tam,Tолық,Tam,Полная
arabAlphabet,Arab aribi,Араб ариби,Arabic script,Араб Yazısı,Араб Жазуы,Ərəb Yazısı,Арабица
kirilAlphabet,Kiril aribi,Кирил ариби,Cyrilic script,Kiril Alfabesi,Кирилл Элипбисы,Kiril Əlifbası,Кириллица
changeOrder,İrettöö,Итеттөө,Edit,Düzenle,Өзгерту,Redaktə et,Изменить
add,Qoş,Кош,Add,Ekle,Қосу,Əlavə et,Добавить
ready,Dayar,Даяр,Ready,Hazır,Даяр,Hazır,Готово
holdShift,Shift basıp turuñuz,Shift басып туруңуз,Hold on Shift,Shift'e basılı tutun,Shift-ті басып тұрыңыз,Shift-i basılı saxlayın,Удерживайте Shift
andChooseSavables,Jana saqtalma tandañız,Жана сакталма тандаңыз,And click on a savable,Ve kaydedilene tıklayın,Және сақталғанды таңдаңыз,Və saxlanılanı seçin,Выберите сохранялку
buttonHeight,Basqıçtop biyiktigi,Баскычтоп бийиктиги,Keyboard height,Klavye Yüksekliği,Пернетақта Биіктігі,Klaviatura Hündürlüyü,Высота клавиатуры
bottomOffset,Astınan uzaqtıq,Астынан узактык,Bottom offset,Bottom offset,Bottom offset,Bottom offset,Растояние от низа
